Card Name,Bank Name,URL,Card Type,Interest Rate(%),Cash Withdrawal Limit Per transaction,Cash withdrawal Limit Per day,Credit Limit(Max),International Transaction Available,Balance Transfer Available,Dual currency,reward_supplementary_card,reward_airport_lounge,reward_cashback_available,reward luxary resort/hotel,reward insurance plan,reward travel benefits,reward fine dining,reward buffet discount,reward medical discount,reward_shopping,reward airlines ticket,reward point program,EMI available
Meghna Visa Gold Credit Card,Meghna Bank,https://www.meghnabank.com.bd/mbl/gold_credit_card.php,Credit,18,N/G,N/G,500000,T,T,T,T,F,F,T,F,F,F,F,F,T,F,T,T
MDB Visa Gold Dual Credit Card,Midland Bank,https://www.midlandbankbd.net/mdb-credit-card/,Credit,,N/G,N/G,199000,F,T,F,T,F,F,T,F,T,T,T,T,T,F,T,F
MDB Visa Platinum Dual Credit Card,Midland Bank,https://www.midlandbankbd.net/mdb-credit-card/,Credit,18,N/G,N/G,500000,F,T,F,T,F,F,T,F,T,T,T,T,T,F,T,T
MDB Visa Debit Card,Midland Bank,https://www.midlandbankbd.net/debit-card/,Debit,N/G,"50,000.00","50,000.00",N/G,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F
MDB Prepaid Card,Midland Bank,https://www.midlandbankbd.net/mdb-prepaid-card/,Prepaid,N/G,N/G,N/G,N/G,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F
Modhumoti Visa Dual Platinum Credit Card,Modhumoti Bank,https://www.modhumotibankltd.com/modhumoti-visa-dual-platinum-credit-card/,Credit ,N/G,N/G,N/G,"20,00,000.00",T,,,,,,,,,,,,,,,
Modhumoti Visa Dual Gold Credit Card,Modhumoti Bank,https://www.modhumotibankltd.com/modhumoti-visa-dual-gold-credit-card/,,,,,,,,,,,,,,,,,,,,,
Modhumoti Visa Dual Classic Credit Card,Modhumoti Bank,https://www.modhumotibankltd.com/modhumoti-visa-dual-classic-credit-card/,,,,,,,,,,,,,,,,,,,,,
MTB Visa Classic Credit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/credit-card/local-classic-credit-card,,,,,,,,,,,,,,,,,,,,,
MTB Visa Gold Local Credit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/credit-card/local-gold-credit-card,,,,,,,,,,,,,,,,,,,,,
MTB Visa Dual Gold Credit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/credit-card/dual-currency-credit-card,,,,,,,,,,,,,,,,,,,,,
MTB VISA Platinum Credit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/credit-card/mtb-visa-platinum-credit-card/,,,,,,,,,,,,,,,,,,,,,
MTB Visa Signature Credit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/credit-card/mtb-visa-signature-credit-card/,,,,,,,,,,,,,,,,,,,,,
MTB Classic Master Credit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/credit-card/mtb-classic-master-credit-card/,,,,,,,,,,,,,,,,,,,,,
MTB Gold Master Credit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/credit-card/mtb-gold-master-credit-card/,,,,,,,,,,,,,,,,,,,,,
MTB Titanium Master Credit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/credit-card/mtb-titanium-master-credit-card/,,,,,,,,,,,,,,,,,,,,,
MTB World MasterCard Credit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/credit-card/mtb-world-mastercard-credit-card/,,,,,,,,,,,,,,,,,,,,,
MTB Visa Classic Debit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/debit-card/,,,,,,,,,,,,,,,,,,,,,
MTB Visa Platinum Debit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/debit-card/,,,,,,,,,,,,,,,,,,,,,
MTB Visa Signature Debit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/debit-card/,,,,,,,,,,,,,,,,,,,,,
MTB MasterCard Debit Gold,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/debit-card/,,,,,,,,,,,,,,,,,,,,,
MTB MasterCard Debit Titanium,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/debit-card/,,,,,,,,,,,,,,,,,,,,,
MTB MasterCard World Debit,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/debit-card/,,,,,,,,,,,,,,,,,,,,,
NCC Debit Card,National Credit and Commerce Bank Limited,https://www.nccbank.com.bd/index.php/nccbproducts_debitcard,,,,,,,,,,,,,,,,,,,,,
NCC Visa Credit Card,National Credit and Commerce Bank Limited,https://www.nccbank.com.bd/index.php/nccbproducts_creditcard,,,,,,,,,,,,,,,,,,,,,
NRB Bank Visa EMV Global Debit Card,NRB Bank Limited,http://www.nrbbankbd.com/debit-cards/,,,,,,,,,,,,,,,,,,,,,
NRB Bank Visa Credit Card,NRB Bank Limited,http://www.nrbbankbd.com/credit-card/,,,,,,,,,,,,,,,,,,,,,
NRBC Bank Debit Card,NRB Commercial Bank Limited,https://www.nrbcommercialbank.com/cards/NRBCB/Debit_card,,,,,,,,,,,,,,,,,,,,,
NRBC Platinum Dual Currency Credit Card,NRB Commercial Bank Limited,https://www.nrbcommercialbank.com/cards/NRBCB/Platinum_Dual_Currency_Credit_card,,,,,,,,,,,,,,,,,,,,,
NRBC Gold Dual Currency Credit Card,NRB Commercial Bank Limited,https://www.nrbcommercialbank.com/cards/NRBCB/Gold__Dual_Currency_Credit_card,,,,,,,,,,,,,,,,,,,,,
NRBC Classic Dual Currency Credit Card,NRB Commercial Bank Limited,https://www.nrbcommercialbank.com/cards/NRBCB/Classical__Dual_Currency_Credit_card,,,,,,,,,,,,,,,,,,,,,
Prime Bank Debit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/debit_cards,,,,,,,,,,,,,,,,,,,,,
Prime Bank MasterCard Gold Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/Prime_Bank_Master_Gold,,,,,,,,,,,,,,,,,,,,,
Prime Bank Visa Gold Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/Prime_Bank_VISA_Gold,,,,,,,,,,,,,,,,,,,,,
Prime Bank MasterCard Silver Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/Prime_Bank_Master_Silver,,,,,,,,,,,,,,,,,,,,,
Prime Bank Visa Classic Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/Prime_Bank_VISA_Classic,,,,,,,,,,,,,,,,,,,,,
Prime Bank International Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/International_Card,,,,,,,,,,,,,,,,,,,,,
Prime Bank Platinum Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/platinum_credit_card,,,,,,,,,,,,,,,,,,,,,
Prime Bank Hasanah Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/hasanah_credit_card,,,,,,,,,,,,,,,,,,,,,
Prime Bank JCB Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/jcb_credit_card,,,,,,,,,,,,,,,,,,,,,
Trust Bank Platinum Credit Card,Trust Bank,https://www.tblbd.com/TBL-platinum-card,,,,,,,,,,,,,,,,,,,,,
Trust Bank Visa International Classic Dual Card,Trust Bank,https://www.tblbd.com/visa-international-classic-dual,,,,,,,,,,,,,,,,,,,,,
