Card Name,Bank Name,URL,Card Type,Interest Rate(%),Cash Withdrawal Limit Per transaction,Cash withdrawal Limit Per day,Credit Limit(Max),International Transaction Available,Balance Transfer Available,Dual currency,reward_supplementary_card,reward_airport_lounge,reward_cashback_available,reward luxary resort/hotel,reward insurance plan,reward travel benefits,reward fine dining,reward buffet discount,reward medical discount,reward_shopping,reward airlines ticket,reward point program,EMI available
Prime Bank MasterCard Gold Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/Prime_Bank_Master_Gold,Credit,,,,50000,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Prime Bank Visa Gold Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/Prime_Bank_VISA_Gold,Credit,,,,50000,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F
Prime Bank MasterCard Silver Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/Prime_Bank_Master_Silver,Credit,,,,50000,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F
Prime Bank Visa Classic Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/Prime_Bank_VISA_Classic,Credit,,,,50000,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F
Prime Bank International Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/International_Card,Credit,,,,25000,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Prime Bank Platinum Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/platinum_credit_card,Credit,,,,"25,00,000.00",F,F,F,F,F,F,T,F,F,F,F,T,T,F,F,F
Prime Bank Hasanah Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/hasanah_credit_card,Credit,,0.5,,,T,F,F,T,T,F,T,F,T,T,F,F,T,T,F,F
Prime Bank JCB Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/jcb_credit_card,Credit,,0.5,,,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F
Trust Bank Platinum Credit Card,Trust Bank,https://www.tblbd.com/TBL-platinum-card,Credit,,,,"5,00,000.00",T,F,F,T,T,F,F,F,F,F,F,F,F,F,F,F
Trust Bank Visa International Classic Dual Card,Trust Bank,https://www.tblbd.com/visa-international-classic-dual,Credit,,,,"120,00,000.00",F,F,F,T,F,F,F,F,F,F,F,F,T,F,F,F
Trust Bank Visa International Gold Card,Trust Bank,https://www.tblbd.com/visa-international-gold,Credit,,,,"5,00,000.00",F,F,F,T,T,F,F,F,F,F,F,F,T,F,F,F
Trust Bank Debit Card,Trust Bank,https://www.tblbd.com/debit-card,Debit,,,50000,,F,F,F,T,F,F,F,F,F,F,F,F,T,F,F,F
Trust Bank Prepaid Card,Trust Bank,https://www.tblbd.com/prepaid-card,Prepaid,,,,,F,F,F,F,F,F,F,F,F,T,F,T,T,T,F,F
Trust Hajj Card ,Trust Bank,https://www.tblbd.com/trust-hajj-card,Hajj,,,,1000,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Trust Proprietary Card,Trust Bank,https://www.tblbd.com/trust-proprietary-card,Proprietary ,,,50000,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Pubali Debit Card,Pubali Bank Limited,https://www.pubalibangla.com/credit-card.asp,Debit,,,50000,,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Pubali Visa Gold Credit Card,Pubali Bank Limited,https://www.pubalibangla.com/credit-card.asp,Credit,,,,,T,T,T,F,T,F,F,F,F,F,F,F,F,F,F,F
UCB Debit Card,United Commercial Bank Limited,https://www.ucb.com.bd/index.php?page=retail-banking/cards/debit-card,Debit,,0.5,,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
UCB Visa Classic Credit Card,United Commercial Bank Limited,https://www.ucb.com.bd/index.php?page=retail-banking/cards/credit-card,Credit,,,,75000,T,T,T,T,F,F,F,T,T,T,F,F,T,F,F,F
UCB MasterCard Classic Credit Card,United Commercial Bank Limited,https://www.ucb.com.bd/index.php?page=retail-banking/cards/credit-card,Credit,,,,75000,T,T,T,T,F,F,F,T,T,T,F,F,T,F,F,F
UCB Visa Gold Credit Card,United Commercial Bank Limited,https://www.ucb.com.bd/index.php?page=retail-banking/cards/credit-card,Credit,,,,"2,000,00.00",T,T,T,T,T,F,F,T,T,T,F,F,T,F,F,F
UCB MasterCard Gold Credit Card,United Commercial Bank Limited,https://www.ucb.com.bd/index.php?page=retail-banking/cards/credit-card,Credit,,,,"2,000,00.00",T,T,T,T,T,F,F,T,T,T,F,F,T,F,F,F
UCB Visa Platinum Credit Card,United Commercial Bank Limited,https://www.ucb.com.bd/index.php?page=retail-banking/cards/credit-card,Credit,,,,"5,000,00.00",T,T,T,T,T,F,F,T,T,T,F,F,T,F,F,F
UCB MasterCard Platinum Credit Card,United Commercial Bank Limited,https://www.ucb.com.bd/index.php?page=retail-banking/cards/credit-card,Credit,,,,"5,000,00.00",T,T,T,T,T,F,F,T,T,T,F,F,T,F,F,F
Standard Charter Visa Platinum Debit Card,Standard Charter,https://www.sc.com/bn/save/visa-debit-card/,Debit,,,,,T,F,F,F,F,F,F,T,T,T,T,T,F,F,F,F
Standard Charter Visa Gold Debit Card,Standard Charter,https://www.sc.com/bn/save/visa-debit-card/,Debit,,,,,T,T,F,F,F,F,F,T,T,T,T,T,F,F,F,F
Standard Charter MasterCard Titanium Credit Card,Standard Charter,https://www.sc.com/bd/credit-cards/credit-card.html,Credit,0.0,,,"1,000,00.00",T,T,F,T,T,T,F,F,T,T,T,T,T,F,F,F
Standard Charter Visa Signature Credit Card,Standard Charter,https://www.sc.com/bd/credit-cards/credit-card.html,Credit,0.0,,,,F,T,F,T,T,T,F,F,F,T,T,F,F,F,F,F
Standard Charter Platinum Visa Credit Card,Standard Charter,https://www.sc.com/bd/credit-cards/credit-card.html,Credit,0.0,,,,T,T,F,T,T,F,F,T,F,T,F,F,F,F,T,F
Standard Charter Platinum MasterCard Credit Card,Standard Charter,https://www.sc.com/bd/credit-cards/credit-card.html,Credit,0.0,,,,T,T,F,T,T,F,F,T,F,T,F,F,F,F,T,F
Standard Charter Gold MasterCard Credit Card,Standard Charter,https://www.sc.com/bd/credit-cards/credit-card.html,Credit,0.0,,,,T,T,F,T,F,F,F,T,F,F,F,F,F,F,T,F
Standard Charter Silver MasterCard Credit Card,Standard Charter,https://www.sc.com/bd/credit-cards/credit-card.html,Credit,0.0,,,,T,T,F,T,F,F,F,T,F,F,F,F,F,F,T,F
One Bank Visa Local Debit Card,One Bank,https://www.onebank.com.bd/home/colbrd/debit-card/local/,Debit,,,50000,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
One Bank Visa School Banking Local Debit Card,One Bank,https://www.onebank.com.bd/home/colbrd/debit-card/sb/,Debit,,,,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
One Bank Visa Platinum Credit Card,One Bank,https://www.onebank.com.bd/home/colbrd/credit-cards/platinum,Credit,,,,,T,T,T,T,T,F,T,F,T,T,F,T,T,T,F,F
One Bank Visa Gold Credit Card (Local),One Bank,https://www.onebank.com.bd/home/colbrd/credit-cards/gold/,Credit,,,,,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F
One Bank Visa Classic Credit Card (Dual),One Bank,https://www.onebank.com.bd/home/colbrd/credit-cards/classic,Credit,,,,,T,T,T,T,F,F,F,F,T,F,F,F,F,F,F,F
One Bank Prepaid Cards(multiple),One Bank,https://www.onebank.com.bd/home/colbrd/prepaid-card/,Prepaid,,,,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Premier Bank Debit Card,Premier Bank,http://premierbankltd.com/pbl/debit-card/,Debit,,,50000,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Premier Bank Gold Credit Card,Premier Bank,http://premierbankltd.com/pbl/gold-card/,Credit,,,,,F,F,F,T,F,F,F,F,F,T,F,F,T,F,F,F
Premier Bank International Credit Card,Premier Bank,http://premierbankltd.com/pbl/international-card/,Credit,,,,,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F
Premier Bank Platinum Credit Card,Premier Bank,http://premierbankltd.com/pbl/platinum-card/,Credit,,,,,T,F,F,T,F,F,F,F,F,T,F,F,T,F,F,F
Premier Bank Classic Credit Card,Premier Bank,http://premierbankltd.com/pbl/classic-credit-card/,Credit,,,,,F,F,F,T,F,F,F,F,F,T,F,F,T,F,F,F
Premier Bank Dual Currency Card ,Premier Bank,http://premierbankltd.com/pbl/dual-card/,Dual Currency,,,,,T,F,T,T,F,F,F,F,F,T,F,F,T,F,F,F
Premier prepaid Hajj Card,Premier Bank,http://premierbankltd.com/pbl/prepaid-hajj-card/,Prepaid(Hajj),,,,,T,F,F,F,F,F,F,F,T,F,F,F,T,F,F,F
Premier Prepaid Travel Card,Premier Bank,http://premierbankltd.com/pbl/prepaid-travel-card/,Prepaid,,,,,T,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F
